INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
fasudil	Approved Name	DTXSID4048569	Fasudil	103745-39-7	5-(1,4-Diazepane-1-sulfonyl)isoquinoline	InChI=1S/C14H17N3O2S/c18-20(19,17-9-2-6-15-8-10-17)14-4-1-3-12-11-16-7-5-13(12)14/h1,3-5,7,11,15H,2,6,8-10H2	17	O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2
2-deoxy-D-glucose	Synonym from Valid Source	DTXSID1037648	Deoxyglucose	154-17-6	6-Deoxy-D-glucose	InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h2-6,8-11H,1H3/t3-,4+,5-,6-/m1/s1	23	CC(O)C(O)C(O)C(O)C=O
imatinib	Approved Name	DTXSID3037125	Imatinib	152459-95-5	4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)pyrimidin-2-yl]amino}phenyl)benzamide	InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)	28	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1
pirinixic acid	Approved Name	DTXSID4020290	Pirinixic acid	50892-23-4	{[4-Chloro-6-(2,3-dimethylanilino)pyrimidin-2-yl]sulfanyl}acetic acid	InChI=1S/C14H14ClN3O2S/c1-8-4-3-5-10(9(8)2)16-12-6-11(15)17-14(18-12)21-7-13(19)20/h3-6H,7H2,1-2H3,(H,19,20)(H,16,17,18)	57	CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
rosiglitazone	Approved Name	DTXSID7037131	Rosiglitazone	122320-73-4	5-[(4-{2-[Methyl(pyridin-2-yl)amino]ethoxy}phenyl)methyl]-1,3-thiazolidine-2,4-dione	InChI=1S/C18H19N3O3S/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15/h2-9,15H,10-12H2,1H3,(H,20,22,23)	41	CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=NC=CC=C1
troglitazone	Approved Name	DTXSID8023719	Troglitazone	97322-87-7	5-({4-[(6-Hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl)methoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione	InChI=1S/C24H27NO5S/c1-13-14(2)21-18(15(3)20(13)26)9-10-24(4,30-21)12-29-17-7-5-16(6-8-17)11-19-22(27)25-23(28)31-19/h5-8,19,26H,9-12H2,1-4H3,(H,25,27,28)	52	CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
cobalt chloride	Approved Name	DTXSID9040180	Cobalt chloride	7646-79-9	Cobalt(2+) dichloride	InChI=1S/2ClH.Co/h2*1H;/q;;+2/p-2	39	-
wortmannin	Approved Name	DTXSID8040642	Wortmannin	19545-26-7	(1S,6bR,9aS,11R,11bR)-1-(Methoxymethyl)-9a,11b-dimethyl-3,6,9-trioxo-1,6,6b,7,8,9,9a,10,11,11b-decahydro-3H-furo[4,3,2-de]indeno[4,5-h][2]benzopyran-11-yl acetate	InChI=1S/C23H24O8/c1-10(24)30-13-7-22(2)12(5-6-14(22)25)16-18(13)23(3)15(9-28-4)31-21(27)11-8-29-20(17(11)23)19(16)26/h8,12-13,15H,5-7,9H2,1-4H3/t12-,13+,15+,22-,23-/m0/s1	24	COCC1OC(=O)C2=COC3=C2C1(C)C1=C(C2CCC(=O)C2(C)CC1OC(C)=O)C3=O
tetraethylenepentamine	Approved Name	DTXSID7026108	Tetraethylenepentamine	112-57-2	N~1~,N~1'~-[Azanediyldi(ethane-2,1-diyl)]di(ethane-1,2-diamine)	InChI=1S/C8H23N5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h11-13H,1-10H2	67	NCCNCCNCCNCCN
clozapine	Approved Name	DTXSID5022855	Clozapine	5786-21-0	8-Chloro-11-(4-methylpiperazin-1-yl)-5H-dibenzo[b,e][1,4]diazepine	InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3	60	CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
thioridazine	Approved Name	DTXSID6023656	Thioridazine	50-52-2	10-[2-(1-Methylpiperidin-2-yl)ethyl]-2-(methylsulfanyl)-10H-phenothiazine	InChI=1S/C21H26N2S2/c1-22-13-6-5-7-16(22)12-14-23-18-8-3-4-9-20(18)25-21-11-10-17(24-2)15-19(21)23/h3-4,8-11,15-16H,5-7,12-14H2,1-2H3	48	CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
haloperidol	Approved Name	DTXSID4034150	Haloperidol	52-86-8	4-[4-(4-Chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	InChI=1S/C21H23ClFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2	78	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
trifluoperazine	Synonym from Valid Source	DTXSID1046928	Triphthasine	117-89-5	10-[3-(4-Methylpiperazin-1-yl)propyl]-2-(trifluoromethyl)-10H-phenothiazine	InChI=1S/C21H24F3N3S/c1-25-11-13-26(14-12-25)9-4-10-27-17-5-2-3-6-19(17)28-20-8-7-16(15-18(20)27)21(22,23)24/h2-3,5-8,15H,4,9-14H2,1H3	30	CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1
chlorpromazine	Approved Name	DTXSID0022808	Chlorpromazine	50-53-3	3-(2-Chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine	InChI=1S/C17H19ClN2S/c1-19(2)10-5-11-20-14-6-3-4-7-16(14)21-17-9-8-13(18)12-15(17)20/h3-4,6-9,12H,5,10-11H2,1-2H3	61	CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
iloprost	Approved Name	DTXSID2041046	Iloprost	78919-13-8	(5E)-5-[(3aS,5R,6aS)-5-Hydroxy-4-[(1E,3S)-3-hydroxy-4-methyloct-1-en-6-yn-1-yl]hexahydropentalen-2(1H)-ylidene]pentanoic acid	InChI=1S/C22H32O4/c1-3-4-7-15(2)20(23)11-10-18-19-13-16(8-5-6-9-22(25)26)12-17(19)14-21(18)24/h8,10-11,15,17-21,23-24H,5-7,9,12-14H2,1-2H3,(H,25,26)/b11-10+,16-8+/t15?,17-,18?,19-,20+,21+/m0/s1	29	CC#CCC(C)C(O)\C=C\C1C(O)CC2C\C(CC12)=C\CCCC(O)=O
copper sulfate	Approved Name	DTXSID6034479	Copper sulfate	7758-98-7	Copper(2+) sulfate	InChI=1S/Cu.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2	48	-
oxamic acid	Approved Name	DTXSID6060052	Oxamic acid	471-47-6	Amino(oxo)acetic acid	InChI=1S/C2H3NO3/c3-1(4)2(5)6/h(H2,3,4)(H,5,6)	25	NC(=O)C(O)=O
W-13	NO_MATCH	-	-	-	-	-	-	-
arachidonic acid	Approved Name	DTXSID4040420	Arachidonic acid	506-32-1	(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-	34	CCCCC\C=C\C\C=C/C\C=C/C\C=C/CCCC(O)=O
oligomycin	Approved Name	DTXSID7040570	Oligomycin	1404-19-9	-	-	16	-
prochlorperazine	Approved Name	DTXSID7023514	Prochlorperazine	58-38-8	2-Chloro-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine	InChI=1S/C20H24ClN3S/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24/h2-3,5-8,15H,4,9-14H2,1H3	40	CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
deferoxamine	Approved Name	DTXSID7022887	Deferoxamine	70-51-9	N~4~-{5-[Acetyl(hydroxy)amino]pentyl}-N~1~-(5-{4-[(5-aminopentyl)(hydroxy)amino]-4-oxobutanamido}pentyl)-N~1~-hydroxybutanediamide	InChI=1S/C25H48N6O8/c1-21(32)29(37)18-9-3-6-16-27-22(33)12-14-25(36)31(39)20-10-4-7-17-28-23(34)11-13-24(35)30(38)19-8-2-5-15-26/h37-39H,2-20,26H2,1H3,(H,27,33)(H,28,34)	35	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
quinpirole	Approved Name	DTXSID9048229	Quinpirole	80373-22-4	(4aR,8aR)-5-Propyl-4,4a,5,6,7,8,8a,9-octahydro-2H-pyrazolo[3,4-g]quinoline	InChI=1S/C13H21N3/c1-2-5-16-6-3-4-10-7-12-11(8-13(10)16)9-14-15-12/h9-10,13H,2-8H2,1H3,(H,14,15)/t10-,13-/m1/s1	13	CCCN1CCCC2CC3=NNC=C3CC12
calmidazolium	NO_MATCH	-	-	-	-	-	-	-
fluphenazine	Approved Name	DTXSID2023068	Fluphenazine	69-23-8	2-(4-{3-[2-(Trifluoromethyl)-10H-phenothiazin-10-yl]propyl}piperazin-1-yl)ethan-1-ol	InChI=1S/C22H26F3N3OS/c23-22(24,25)17-6-7-21-19(16-17)28(18-4-1-2-5-20(18)30-21)9-3-8-26-10-12-27(13-11-26)14-15-29/h1-2,4-7,16,29H,3,8-15H2	41	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1
dopamine	Approved Name	DTXSID6022420	Dopamine	51-61-6	4-(2-Aminoethyl)benzene-1,2-diol	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	44	NCCC1=CC(O)=C(O)C=C1
gefitinib	Approved Name	DTXSID8041034	Gefitinib	184475-35-2	N-(3-Chloro-4-fluorophenyl)-7-methoxy-6-[3-(morpholin-4-yl)propoxy]quinazolin-4-amine	InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)	34	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
1,5-isoquinolinediol	Integrated Source Name	DTXSID60199505	1,5-Dihydroxyisoquinoline	5154-02-9	5-Hydroxyisoquinolin-1(2H)-one	InChI=1S/C9H7NO2/c11-8-3-1-2-7-6(8)4-5-10-9(7)12/h1-5,11H,(H,10,12)	15	OC1=CC=CC2=C1C=CNC2=O
4,5-dianilinophthalimide	Approved Name	DTXSID4040393	4,5-Dianilinophthalimide	145915-58-8	5,6-Dianilino-1H-isoindole-1,3(2H)-dione	InChI=1S/C20H15N3O2/c24-19-15-11-17(21-13-7-3-1-4-8-13)18(12-16(15)20(25)23-19)22-14-9-5-2-6-10-14/h1-12,21-22H,(H,23,24,25)	18	O=C1NC(=O)C2=C1C=C(NC1=CC=CC=C1)C(NC1=CC=CC=C1)=C2
butein	NO_MATCH	-	-	-	-	-	-	-
fisetin	Approved Name	DTXSID4022317	Fisetin	528-48-3	2-(3,4-Dihydroxyphenyl)-3,7-dihydroxy-4H-1-benzopyran-4-one	InChI=1S/C15H10O6/c16-8-2-3-9-12(6-8)21-15(14(20)13(9)19)7-1-4-10(17)11(18)5-7/h1-6,16-18,20H	34	OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C=C1
HNMPA-(AM)3	NO_MATCH	-	-	-	-	-	-	-
3-aminobenzamide	Approved Name	DTXSID90188922	3-Aminobenzamide	3544-24-9	3-Aminobenzamide	InChI=1S/C7H8N2O/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,8H2,(H2,9,10)	29	NC(=O)C1=CC(N)=CC=C1
dimethyloxalylglycine	Synonym	DTXSID80339961	DMOG	89464-63-1	Methyl N-[methoxy(oxo)acetyl]glycinate	InChI=1S/C6H9NO5/c1-11-4(8)3-7-5(9)6(10)12-2/h3H2,1-2H3,(H,7,9)	8	COC(=O)CNC(=O)C(=O)OC
bucladesine	Approved Name	DTXSID1040459	Bucladesine	362-74-3	(4aR,6R,7R,7aR)-6-(6-Butanamido-9H-purin-9-yl)-2-hydroxy-2-oxotetrahydro-2H,4H-2lambda~5~-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl butanoate	InChI=1S/C18H24N5O8P/c1-3-5-11(24)22-16-13-17(20-8-19-16)23(9-21-13)18-15(30-12(25)6-4-2)14-10(29-18)7-28-32(26,27)31-14/h8-10,14-15,18H,3-7H2,1-2H3,(H,26,27)(H,19,20,22,24)/t10-,14-,15-,18-/m1/s1	22	CCCC(=O)NC1=C2N=CN(C3OC4COP(O)(=O)OC4C3OC(=O)CCC)C2=NC=N1
resveratrol	Approved Name	DTXSID4031980	Resveratrol	501-36-0	5-[(E)-2-(4-Hydroxyphenyl)ethenyl]benzene-1,3-diol	InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+	65	OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1
geldanamycin	Approved Name	DTXSID7042691	Geldanamycin	30562-34-6	(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	InChI=1S/C29H40N2O9/c1-15-11-19-25(34)20(14-21(32)27(19)39-7)31-28(35)16(2)9-8-10-22(37-5)26(40-29(30)36)18(4)13-17(3)24(33)23(12-15)38-6/h8-10,13-15,17,22-24,26,33H,11-12H2,1-7H3,(H2,30,36)(H,31,35)/b10-8-,16-9+,18-13+/t15-,17+,22+,23+,24-,26+/m1/s1	19	COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C/C=C\C(OC)C(OC(N)=O)\C(C)=C/C(C)C1O)C2=O
probucol	Approved Name	DTXSID2045440	Probucol	23288-49-5	4,4'-(Propane-2,2-diyldisulfanediyl)bis(2,6-di-tert-butylphenol)	InChI=1S/C31H48O2S2/c1-27(2,3)21-15-19(16-22(25(21)32)28(4,5)6)34-31(13,14)35-20-17-23(29(7,8)9)26(33)24(18-20)30(10,11)12/h15-18,32-33H,1-14H3	36	CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
5666823	NO_MATCH	-	-	-	-	-	-	-
nocodazole	Approved Name	DTXSID9031800	Nocodazole	31430-18-9	Methyl [5-(thiophene-2-carbonyl)-1H-benzimidazol-2-yl]carbamate	InChI=1S/C14H11N3O3S/c1-20-14(19)17-13-15-9-5-4-8(7-10(9)16-13)12(18)11-3-2-6-21-11/h2-7H,1H3,(H2,15,16,17,19)	39	COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CS1
benserazide	Approved Name	DTXSID9022651	Benserazide	322-35-0	2-Amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide (non-preferred name)	InChI=1S/C10H15N3O5/c11-6(4-14)10(18)13-12-3-5-1-2-7(15)9(17)8(5)16/h1-2,6,12,14-17H,3-4,11H2,(H,13,18)	24	NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1
paclitaxel	Approved Name	DTXSID9023413	Paclitaxel	33069-62-4	(2alpha,5beta,7beta,10beta,13alpha)-4,10-Bis(acetyloxy)-13-{[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy}-1,7-dihydroxy-9-oxo-5,20-epoxytax-11-en-2-yl benzoate	InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)/t31-,32-,33+,35-,36+,37+,38-,40-,45+,46-,47+/m0/s1	50	CC(=O)OC1C2=C(C)C(CC(O)(C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)C(O)C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
colchicine	Approved Name	DTXSID5024845	Colchicine	64-86-8	N-[(7S)-1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl]acetamide	InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1	81	COC1=C(OC)C(OC)=C2C(CCC(NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1
pentamidine	Approved Name	DTXSID7023431	Pentamidine	100-33-4	4,4'-[Pentane-1,5-diylbis(oxy)]di(benzene-1-carboximidamide)	InChI=1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)	36	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
tioguanine	Synonym from Valid Source	DTXSID6023652	6-Thioguanine	154-42-7	2-Amino-1,7-dihydro-6H-purine-6-thione	InChI=1S/C5H5N5S/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)	56	NC1=NC2=C(NC=N2)C(=S)N1
docosahexaenoic acid ethyl ester	Approved Name	DTXSID60276426	Docosahexaenoic acid ethyl ester	1020718-25-5	Ethyl docosa-2,4,6,8,10,12-hexaenoate	InChI=1S/C24H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26-4-2/h12-23H,3-11H2,1-2H3	5	CCCCCCCCC\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)OCC
splitomicin	Approved Name	DTXSID60197021	Splitomicin	4707-36-2	2,3-Dihydro-1H-naphtho[2,1-b]pyran-1-one	InChI=1S/C13H10O2/c14-11-7-8-15-12-6-5-9-3-1-2-4-10(9)13(11)12/h1-6H,7-8H2	9	O=C1CCOC2=C1C1=CC=CC=C1C=C2
U0125	NO_MATCH	-	-	-	-	-	-	-
butirosin	NO_MATCH	-	-	-	-	-	-	-
rottlerin	Approved Name	DTXSID30231502	Rottlerin	82-08-6	(2E)-1-{6-[(3-Acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethyl-2H-1-benzopyran-8-yl}-3-phenylprop-2-en-1-one	InChI=1S/C30H28O8/c1-15-24(33)19(27(36)22(16(2)31)25(15)34)14-20-26(35)18-12-13-30(3,4)38-29(18)23(28(20)37)21(32)11-10-17-8-6-5-7-9-17/h5-13,33-37H,14H2,1-4H3/b11-10+	20	CC(=O)C1=C(O)C(C)=C(O)C(CC2=C(O)C(C(=O)\C=C/C3=CC=CC=C3)=C3OC(C)(C)C=CC3=C2O)=C1O
colforsin	Expert Validated Synonym	DTXSID8040484	Forskolin	66575-29-9	(3R,4aR,5S,6S,6aS,10S,10aR,10bS)-3-Ethenyl-6,10,10b-trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxododecahydro-1H-naphtho[2,1-b]pyran-5-yl acetate	InChI=1S/C22H34O7/c1-8-19(5)11-14(25)22(27)20(6)13(24)9-10-18(3,4)16(20)15(26)17(28-12(2)23)21(22,7)29-19/h8,13,15-17,24,26-27H,1,9-11H2,2-7H3/t13-,15-,16-,17-,19-,20-,21+,22-/m0/s1	53	CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C
prazosin	Approved Name	DTXSID4049082	Prazosin	19216-56-9	[4-(4-Amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl](furan-2-yl)methanone	InChI=1S/C19H21N5O4/c1-26-15-10-12-13(11-16(15)27-2)21-19(22-17(12)20)24-7-5-23(6-8-24)18(25)14-4-3-9-28-14/h3-4,9-11H,5-8H2,1-2H3,(H2,20,21,22)	33	COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1=CC=CO1
5252917	NO_MATCH	-	-	-	-	-	-	-
5255229	NO_MATCH	-	-	-	-	-	-	-
Y-27632	Approved Name	DTXSID7043740	Y-27632	146986-50-7	(1R,4r)-4-[(1R)-1-Aminoethyl]-N-(pyridin-4-yl)cyclohexane-1-carboxamide	InChI=1S/C14H21N3O/c1-10(15)11-2-4-12(5-3-11)14(18)17-13-6-8-16-9-7-13/h6-12H,2-5,15H2,1H3,(H,16,17,18)/t10-,11-,12-/m1/s1	15	CC(N)C1CCC(CC1)C(=O)NC1=CC=NC=C1
carbamazepine	Approved Name	DTXSID4022731	Carbamazepine	298-46-4	5H-Dibenzo[b,f]azepine-5-carboxamide	InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)	84	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2
blebbistatin	NO_MATCH	-	-	-	-	-	-	-
5211181	NO_MATCH	-	-	-	-	-	-	-
5248896	NO_MATCH	-	-	-	-	-	-	-
5224221	NO_MATCH	-	-	-	-	-	-	-
5253409	NO_MATCH	-	-	-	-	-	-	-
5279552	NO_MATCH	-	-	-	-	-	-	-
5230742	NO_MATCH	-	-	-	-	-	-	-
oxaprozin	Approved Name	DTXSID1045118	Oxaprozin	21256-18-8	3-(4,5-Diphenyl-1,3-oxazol-2-yl)propanoic acid	InChI=1S/C18H15NO3/c20-16(21)12-11-15-19-17(13-7-3-1-4-8-13)18(22-15)14-9-5-2-6-10-14/h1-10H,11-12H2,(H,20,21)	43	OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
quinostatin	NO_MATCH	-	-	-	-	-	-	-
5182598	NO_MATCH	-	-	-	-	-	-	-
ikarugamycin	NO_MATCH	-	-	-	-	-	-	-
pyrvinium	Approved Name	DTXSID2043795	Pyrvinium	7187-62-4	6-(Dimethylamino)-2-[(E)-2-(2,5-dimethyl-1-phenyl-1H-pyrrol-3-yl)ethenyl]-1-methylquinolin-1-ium	InChI=1S/C26H28N3/c1-19-17-21(20(2)29(19)24-9-7-6-8-10-24)11-13-23-14-12-22-18-25(27(3)4)15-16-26(22)28(23)5/h6-18H,1-5H3/q+1	16	CN(C)C1=CC=C2C(C=CC(\C=C\C3=C(C)N(C(C)=C3)C3=CC=CC=C3)=[N+]2C)=C1
depudecin	NO_MATCH	-	-	-	-	-	-	-
ionomycin	Approved Name	DTXSID2040521	Ionomycin	56092-81-0	(4R,6S,8S,10Z,12R,14R,16E,18R,19R,20S,21S)-11,19,21-Trihydroxy-22-{(2S,2'R,5S,5'S)-5'-[(1R)-1-hydroxyethyl]-2,5'-dimethyl[2,2'-bioxolan]-5-yl}-4,6,8,12,14,18,20-heptamethyl-9-oxodocosa-10,16-dienoic acid	InChI=1S/C41H72O9/c1-25(21-29(5)34(43)24-35(44)30(6)22-27(3)20-26(2)14-15-38(46)47)12-11-13-28(4)39(48)31(7)36(45)23-33-16-18-41(10,49-33)37-17-19-40(9,50-37)32(8)42/h11,13,24-33,36-37,39,42-43,45,48H,12,14-23H2,1-10H3,(H,46,47)/b13-11+,34-24-/t25-,26-,27+,28-,29-,30+,31+,32-,33+,36+,37-,39-,40+,41+/m1/s1	15	CC(CCC(O)=O)CC(C)CC(C)C(=O)\C=C(\O)C(C)CC(C)C\C=C/C(C)C(O)C(C)C(O)CC1CCC(C)(O1)C1CCC(C)(O1)C(C)O
celastrol	Approved Name	DTXSID2040993	Celastrol	34157-83-0	(2R,4aS,6aS,12bR,14aS,14bR)-10-Hydroxy-2,4a,6a,9,12b,14a-hexamethyl-11-oxo-1,2,3,4,4a,5,6,6a,11,12b,13,14,14a,14b-tetradecahydropicene-2-carboxylic acid	InChI=1S/C29H38O4/c1-17-18-7-8-21-27(4,19(18)15-20(30)23(17)31)12-14-29(6)22-16-26(3,24(32)33)10-9-25(22,2)11-13-28(21,29)5/h7-8,15,22,31H,9-14,16H2,1-6H3,(H,32,33)/t22-,25-,26-,27+,28-,29+/m1/s1	21	CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(CCC3(C)CCC12C)C(O)=O
5186223	NO_MATCH	-	-	-	-	-	-	-
5286656	NO_MATCH	-	-	-	-	-	-	-
5149715	NO_MATCH	-	-	-	-	-	-	-
5162773	NO_MATCH	-	-	-	-	-	-	-
pararosaniline	Synonym	DTXSID5043845	C.I. Basic Red 9	479-73-2	4,4'-[(4-Iminocyclohexa-2,5-dien-1-ylidene)methylene]dianiline	InChI=1S/C19H17N3/c20-16-7-1-13(2-8-16)19(14-3-9-17(21)10-4-14)15-5-11-18(22)12-6-15/h1-12,20H,21-22H2	19	NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1
5213008	NO_MATCH	-	-	-	-	-	-	-
5152487	NO_MATCH	-	-	-	-	-	-	-
5114445	NO_MATCH	-	-	-	-	-	-	-
5186324	NO_MATCH	-	-	-	-	-	-	-
5151277	NO_MATCH	-	-	-	-	-	-	-
5109870	NO_MATCH	-	-	-	-	-	-	-
5140203	NO_MATCH	-	-	-	-	-	-	-
clotrimazole	Approved Name	DTXSID7029871	Clotrimazole	23593-75-1	1-[(2-Chlorophenyl)(diphenyl)methyl]-1H-imidazole	InChI=1S/C22H17ClN2/c23-21-14-8-7-13-20(21)22(25-16-15-24-17-25,18-9-3-1-4-10-18)19-11-5-2-6-12-19/h1-17H	73	ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
HC toxin	NO_MATCH	-	-	-	-	-	-	-
topiramate	Approved Name	DTXSID8023688	Topiramate	97240-79-4	[(3aS,5aR,8aR,8bS)-2,2,7,7-Tetramethyltetrahydro-2H,3aH,7H-bis[1,3]dioxolo[4,5-b:4',5'-d]pyran-3a-yl]methyl sulfamate (non-preferred name)	InChI=1S/C12H21NO8S/c1-10(2)18-7-5-16-12(6-17-22(13,14)15)9(8(7)19-10)20-11(3,4)21-12/h7-9H,5-6H2,1-4H3,(H2,13,14,15)/t7-,8-,9+,12+/m1/s1	50	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
